,AYB,Discretise,Frequency
1574,1961.0,New,433
1575,1925.0,Old,2382
1576,1950.0,Old,2382
1577,1923.0,Old,2382
1578,1935.0,Old,2382
1579,1927.0,Old,2382
1580,1925.0,Old,2382
1581,1925.0,Old,2382
1582,1928.0,Old,2382
1583,1927.0,Old,2382
1584,1925.0,Old,2382
1585,1938.0,Old,2382
1586,1927.0,Old,2382
1587,1917.0,Old,2382
1588,0.0,Very Old,10
1589,1925.0,Old,2382
1590,1927.0,Old,2382
1591,1925.0,Old,2382
1592,1925.0,Old,2382
1593,1922.0,Old,2382
1594,1926.0,Old,2382
1595,1925.0,Old,2382
1596,1927.0,Old,2382
1597,1931.0,Old,2382
1598,1935.0,Old,2382
1599,1931.0,Old,2382
1600,1913.0,Old,2382
1601,1927.0,Old,2382
1602,1913.0,Old,2382
1603,1927.0,Old,2382
1604,1927.0,Old,2382
1605,1916.0,Old,2382
1606,1925.0,Old,2382
1607,1914.0,Old,2382
1608,1920.0,Old,2382
1609,1926.0,Old,2382
1610,1927.0,Old,2382
1611,1917.0,Old,2382
1612,1932.0,Old,2382
1613,1931.0,Old,2382
1614,1929.0,Old,2382
1615,1929.0,Old,2382
1616,1929.0,Old,2382
1617,1935.0,Old,2382
1618,1920.0,Old,2382
1619,1929.0,Old,2382
1620,1929.0,Old,2382
1621,1926.0,Old,2382
1622,1926.0,Old,2382
1623,1910.0,Old,2382
1624,1937.0,Old,2382
1625,1895.0,Old,2382
1626,1914.0,Old,2382
1627,1923.0,Old,2382
1628,1927.0,Old,2382
1629,1895.0,Old,2382
1630,1895.0,Old,2382
1631,1935.0,Old,2382
1632,1928.0,Old,2382
1633,1925.0,Old,2382
1634,1930.0,Old,2382
1635,1925.0,Old,2382
1636,1926.0,Old,2382
1637,1925.0,Old,2382
1638,1920.0,Old,2382
1639,1924.0,Old,2382
1640,1929.0,Old,2382
1641,1906.0,Old,2382
1642,1907.0,Old,2382
1643,1910.0,Old,2382
1644,1910.0,Old,2382
1645,1906.0,Old,2382
1646,1906.0,Old,2382
1647,1906.0,Old,2382
1648,1895.0,Old,2382
1649,1895.0,Old,2382
1650,1895.0,Old,2382
1651,1913.0,Old,2382
1652,1907.0,Old,2382
1653,1907.0,Old,2382
1654,1923.0,Old,2382
1655,1926.0,Old,2382
1656,1925.0,Old,2382
1657,1920.0,Old,2382
1658,1895.0,Old,2382
1659,1909.0,Old,2382
1660,1907.0,Old,2382
