"BATHRM","HEAT_D","AC","NUM_UNITS","ROOMS","BEDRM","AYB","YR_RMDL","SALEDATE","PRICE","QUALIFIED","STYLE","STRUCT","GRADE_D","CNDTN_D","EXTWALL_D","ROOF","INTWALL_D","KITCHENS","FIREPLACES","LANDAREA","GIS_LAST_MOD_DTTM"
2,"Forced Air","Y",1,5,2,1961,,"2010-05-19T00:00:00.000Z",0,"U",4,7,"Good Quality","Good","Common Brick",2,"Hardwood",1,2,989,"2018-07-22T18:01:43.000Z"
4,"Forced Air","Y",2,11,4,1970,2005,"2007-11-28T00:00:00.000Z",1980000,"Q",7,8,"Excellent","Good","Common Brick",2,"Hardwood",2,1,1979,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",2,8,4,1976,2001,"2004-04-27T00:00:00.000Z",876000,"U",7,7,"Good Quality","Good","Common Brick",2,"Hardwood",2,2,1959,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,7,3,2002,,"2004-10-20T00:00:00.000Z",920000,"Q",4,1,"Above Average","Good","Common Brick",2,"Hardwood",1,1,1487,"2018-07-22T18:01:43.000Z"
4,"Hot Water Rad","N",2,12,6,1911,2000,"1900-01-01T00:00:00.000Z",0,"U",7,7,"Very Good","Good","Common Brick",2,"Hardwood",2,3,3036,"2018-07-22T18:01:43.000Z"
5,"Warm Cool","Y",3,12,5,1885,2004,"2005-03-04T00:00:00.000Z",1296000,"Q",7,2,"Good Quality","Good","Common Brick",2,"Hardwood",3,0,1600,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,7,4,1915,,"1994-06-01T00:00:00.000Z",210000,"Q",4,7,"Good Quality","Good","Common Brick",6,"Hardwood",1,1,1440,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,10,7,1908,1989,"2015-03-12T00:00:00.000Z",0,"U",7,7,"Good Quality","Good","Common Brick",6,"Hardwood",1,0,2808,"2018-07-22T18:01:43.000Z"
2,"Elec Base Brd","Y",2,6,4,1885,1988,"2013-08-30T00:00:00.000Z",940000,"U",4,7,"Good Quality","Average","Common Brick",2,"Hardwood",2,2,1779,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",2,10,5,1921,2010,"2017-12-21T00:00:00.000Z",0,"U",4,7,"Good Quality","Very Good","Common Brick",6,"Hardwood",2,2,3103,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",2,7,4,1900,2000,"2000-07-25T00:00:00.000Z",485000,"Q",6,7,"Above Average","Good","Common Brick",2,"Hardwood",2,0,1197,"2018-07-22T18:01:43.000Z"
